DRUG,NDC
Niacin SR,536407701
Niacin SR,182441801
Niacin sr,536407701
Saquinavir (Invirase) Cap,4024515
Venlafaxine,8083701
Venlafaxine,8083703
Venlafaxine XR,8083701
Venlafaxine XR,8083703
Venlafaxine XR,8083721
Aspirin 81 mg or Placebo,904404073
cellcept,4025901
neoral,78024815
Neoral,78024815
Neoral capules,78024815
Neoral* Study Medication*,78024815
Neoral Study Med (*IND*),78024815
Aspirin 325 mg or placebo,904404073
Aspirin 325mg/ placebo,904404073
Aspirin 325 mg or Placebo,904404073
Vitamin A,904208560
Salmeterol Xinafoate Diskus (50 mcg),173052000
Advair Diskus,173069602
Fluticasone-Salmeterol (250/50) ,173069602
Fluticasone-Salmeterol Diskus (250/50) ,173069602
Fluticasone-Salmeterol Diskus (250/50) ,173069604
Advair Diskus,173069502
Fluticasone-Salmeterol (100/50),173069502
Fluticasone-Salmeterol Diskus (100/50),173069502
Fluticasone-Salmeterol Diskus (100/50),173069504
Artificial Tears,23050601
Artificial Tears Preserv. Free,23050601
Ipratropium ,597008214
Ipratropium Bromide,597008214
Ipratropium Bromide MDI,597008717
Ipratropium Bromide MDI,597008214
Ipratropium Bromide Neb,597008214
Rhinocort,54569405900
Budesonide (Nasal),186107509
Albuterol,17270072101
Albuterol,59930156001
Albuterol,172439018
Albuterol,173032188
Albuterol MDI,17270072101
Albuterol Inhaler,17270072101
Albuterol Inhaler,173068254
Albuterol Inhaler,59930156001
Albuterol Inhaler,173032188
Albuterol Inhaler,172439018
Albuterol Neb Soln,173032188
Azmacort,75006037
Triamcinolone Acetonide(Inhal),75006037
Qvar,59310017780
Beclomethasone Dipropionate,59310017780
beclomethasone dipropionate,59310017780
*NF* Beclomethasone Dipro 80 mcg Inh,59310017780
*NF* Beclomethasone Dipropionate Inhalation,59310017780
Flonase,173045301
Salmeterol,173046500
Pulmicort,186091542
Cromolyn Sodium,60793001108
Cromolyn Sodium,60793001114
Flovent,173049800
Fluticasone Propionate 110mcg,173049400
Fluticasone Propionate 110mcg,173049800
Salmeterol,173046400
Beclomethasone Dipro. (Oral),85073604
Fluticasone Propionate 110mcg,173071900
Fluticasone Propionate 110mcg,173071920
Albuterol ,59310057920
ProAir HFA,59310057920
Albuterol Inhaler,59310057920
Permethrin,23791560
permethrin,23791560
Silver Sulfadiazine 1% Cream,54569108800
Silver Sulfadiazine 1% Cream,49884060036
Silver Sulfadiazine 1% Cream,8880950505
Silver Sulfadiazine,54569108800
NEO*Aquaphor,72140003147
Silver Sulfadiazine 1% Cream,54569204000
Urea,884044904
Aquaphor Ointment,72140045585
Aquaphor Ointment,54162050001
sodium,517293025
sodium ch,517293025
23.4% Sodium Chloride,517293025
Sodium Chloride (23.4%) Kit,517293025
Miconazole Nitrate Vaginal,472173803
Interferon Alfa 2A,4201509
saliva substitution combo no.2,8489800001
MoviPrep,65649020175
Antihemophilic Factor (Recombinant),26066430
Baclofen Intrathecal,58281056301
Baclofen Intrathecal,58281056104
Nicotine Lozenge,766150010
Nicotine Polacrilex,766150010
Nicotine Lozenge,766150020
Nicotine Lozenge,37205098869
cepacol,11509021265
Cepacol (Menthol),11509021217
Cepacol (Menthol),11509021265
Cetylpyridinium Chl (Cepacol),68021217
Sodium Chloride 3% Inhalation Soln,378699789
Racepinephrine,487590199
Tobramycin,74325503
Tobramycin,53905006504
Tobramycin Inhalation Soln,53905006501
Tobramycin Inhalation Soln,78049471
*NF* Tobramycin Soln,74325503
Tobramycin Inhalation Soln,53905006504
leva,63402051224
Xopenex,63402051224
Xopenex Neb,63402051224
Xopenex HFA,63402051224
Levalbuterol HCl,63402051224
Levalbuterol Neb,63402051224
Levalbuterol Tartrate,63402051224
Levalbuterol HCl (Bulk),63402051224
*NF* Levalbuterol Soln,63402051224
Tucks,71170316
EpiPen,49502050001
Epi,49502050001
Epinephrine,49502050001
Epinephrine ,49502050001
Epinephrine 1:1000,49502050001
Aveeno Bath,24385013395
Aveeno Bath,54569466100
neut,60258000601
Neut,60258000601
Neutra,60258000601
Neutra-Phos,17314931102
Neutra-Phos,60258000601
Neutra-phos,17314931102
Fosfomycin Tromethamine,456430008
Cholestyramine,87058011
Cholestyramine,185094098
Cholestyramine,49884046565
Glutamine,338917791
Miralax,62175044214
GlycoLax,62175044214
Miralax,51991045757
Polyethylene Glycol,51991045757
Polyethylene Glycol,11523726808
Aldara,89061012
potass,456066270
Potassium,456066270
Potassium Chloride,456066270
Potassium Chloride (Powder),456066270
Potassium Chloride Replacement (Oncology),456066270
Miralax,52268080005
AndroGel,51845030
Domeboro,16500002322
Calcium Acetate/Al Sulfate,16500002322
Psyllium,37000002404
Nitroglycerin Oint. 2%,168032608
Nitroglycerin Ointment  2%,168032608
Nitroglycerin Ointment  2%,281032608
Atovaquone Suspension,173054700
GELCLAIR,24477001015
GELCLAIR,65231002101
Gelclair,24477001015
*NF* Gelclair,65231002101
Tuberculin Protein,49281075221
Tuberculin Protein,54569138500
Syringe,8290002191
Influenza Virus Vaccine,54569518100
Influenza Virus Vaccine,33332000801
Influenza Virus Vaccine,58160087346
Influenza Virus Vaccine,58160087646
Influenza Virus Vaccine,49281037415
Influenza Virus Vaccine,49281037215
Influenza Virus Vaccine,58160087546
Influenza Virus Vaccine,33332001001
Tetanus-Diphtheria Tox (DECAVAC),49281029110
Enoxaparin Sodium,75062431
Mumps Skin Test,49281024010
PHENObarbital,641047625
Phenobarbital,54569328200
Phenobarbital,641047625
Phenobarbital,74234301
Risperidone,50458030503
Risperidone Oral Solution,50458030503
Risperidone Oral Solution,50458030510
Syringe (Intrapleural),8290003528
Tetanus-DiphTox-Acellular Pertuss (Adacel),49281040015
Adenosine,469087202
Alteplase (Catheter Clearance),50242004413
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),50242004413
Alteplase 1mg/Flush Volume ( Dialysis/Pheresis Catheters ),50242004413
Atropine Sulfate,74491023
Atropine Sulfate,409491134
Atropine Sulfate,74491134
Cyclophosphamide,54413025
NEO*IV*Fentanyl,11098003002
Fondaparinux Sodium,7323211
HYDROmorphone,409131230
Hydromorphone,74131230
Hydromorphone,409131230
HYDROmorphone (Dilaudid),409131230
Lopinavir-Ritonavir,74395646
Lopinavir-Ritonavir (Oral Soln),74395646
Methadone,54355663
Morphine Sulfate,409189001
Morphine Sulfate,409176230
Morphine Sulfate,74176230
Morphine Sulfate (Syringe),409176230
Morphine Sulfate,74125830
Morphine Sulfate,409125830
Morphine Sulfate,74125801
Morphine Sulfate (Syringe),409125830
Morphine Sulfate,74126102
Morphine Sulfate,74126130
Morphine Sulfate,409126130
Morphine Sulfate For Inhalation,409126130
Naloxone,548146900
Phytonadione,409915701
Phytonadione,548124000
Pneumococcal Vac Polyvalent,6489400
Pneumococcal Vac Polyvalent,5230933
NEO*SC*Polio Vaccine (Inactive),49281086010
NEO*SC*Polio Vaccine (Inactive),49281086052
Senna,34180080
Sirolimus,8103006
Tetanus Toxoid Adsorbed,8033901
Betamethasone Sodium Phos/Acet,85056605
Candida Albicans,49643013801
Candida Skin Test,49643013801
Candida Skin Test,38697601501
Cefazolin,7313505
Codeine Phosphate,409109732
dextr,409490234
DEX,74490223
dextrose,74490234
Dextrose 50%,409490234
Dextrose 50%,74490223
Dextrose 50%,74490234
Diazepam,409127332
Valium,409127332
Opium Tincture,63304020301
Opium Tincture,42998020301
Opium Deodorized Tinc.,63304020301
NEO*PO*Opium Tincture (Dilute),63304020301
Enoxaparin Sodium,75062160
Enoxaparin Sodium,75062161
Enoxaparin Sodium,75062280
Enoxaparin Sodium,75062281
Epi,409492134
EPINEPHrine,409492134
Epinephrine HCl,74492134
Epinephrine HCl,409492134
Epinephrine-Sodium Chloride,74492134
Fondaparinux Sodium,7323411
Haloperidol,54335050
Hepatitis A Vaccine,58160082611
Hepatitis A Vaccine,58160083501
Hydromorphone,74130431
HYDROmorphone,409130431
Hydromorphone,74130401
HYDROmorphone (Dilaudid),409130431
Lacosamide,131541070
LANSOP,300304613
Enoxaparin Sodium,75062040
Enoxaparin Sodium,75062041
methadone,54355663
Methadone HCl,54355563
Methadone,406052710
Methadone HCl,406052710
Morphine Sulfate,74125901
Morphine Sulfate (2-4mg),74125901
Morphine Sulfate (4-8mg),74126102
sodium,74663722
sodium,74663734
sodium,409663734
sodium bic,74663722
sodium bicarb,409663734
sodium bic,409663734
sodium bicarb,74663722
sodium bicarbo,74663722
Sodium Bicarbonate,74663722
Sodium Bicarbonate,74663734
Sodium Bicarbonate,409663734
sodium bicarbonate,409663734
NEO*PO*Morphine,58177088601
NEO*IV*Morphine Sulfate,58177088601
Oxycodone,54368263
Oxycodone Liquid,54368263
Tretinoin Suspension,4025001
ACD-A 3% Flush,23731605305
Acyclovir,173095396
Alteplase 1mg/5mL ( Clearance ie. Indwelling port ),50242004413
Amoxicillin,49999016850
Ampicillin,58016103201
anakinra,66658023407
Amoxicillin-Clavulanic Acid,29609039
Amoxicillin-Clavulanate Susp.,29609039
Bactrim Desensitization,55045122403
Cephalexin,68180012401
Aranesp,55513003904
Aranesp (polysorbate),55513002304
darbepoetin alfa in polysorbat,55513002304
Dexamethasone ,60432046608
Lovenox,75062300
Enoxaparin Sodium,75062300
Enoxaparin Sodium,75062301
Enoxaparin Sodium,75291201
Enoxaparin Sodium,75291202
Enoxaparin Sodium,75291501
Enoxaparin Sodium,75291502
Fondaparinux,66203230001
Fondaparinux Sodium,66203230001
Fondaparinux Sodium,7323001
Influenza A (H1N1) Vaccine,66521020002
Influenza A (H1N1) Vac 09 (PF),66521020002
HYDROmorphone (Dilaudid),74241421
HYDROmorphone,74241421
Hydromorphone,74241421
Hydromorphone PCA,44101710
Hydromorphone,44101710
HYDROmorphone PCA,74241421
HYDROmorphone (Dilaudid),409128331
Hydroxyurea Suspension,68084028401
Imatinib ,78043815
Imatinib Mesylate,78043815
Imatinib Oral Suspension,78043815
Lidocaine,74132305
Lidocaine,74490334
Megestrol Acetate,49884090738
Meges,49884090738
Megestrol ,49884090738
Megestr,49884090738
Meningococcal Vaccine,49281048991
Methadone,54121842
Morphine Sulfate,548604325
Morphine ,66479056012
Morphine Sulfate,66479056012
Morphine Sulfate (Oral Soln.),54375150
Morphine Sulfate (Concentrated Oral Soln),66479056012
Morphine Sulfate (Concentrated Oral Soln),54375150
Morphine Sulfate (Oral Soln.),66479056012
Morphine Sulfate,548604525
Mycophenolate Mofetil,4026129
Mycophenolate Mofetil Suspension,4026129
NEO*SC*Epoetin Alfa,55513012610
NEO*PO*Levothyroxine Suspension,48109013
NEO*IV*Phenobarbital,641047725
NEO*IV*PHENObarbital,641047725
Tetanus Immune Globulin,13533063402
Tetanus Immune Globulin,54569439800
Vancomycin Oral Liquid,2735501
Vancomycin,2735501
Hepatitis B Immune Globulin (Bayhep B),13533063603
Hepatitis B Immune Globulin (Bayhep B),26063203
Calcium Chloride,409492834
Calcium Chloride,74492818
Calcium Chloride,74492834
EPINEPHrine,409724101
Fentanyl PCA,641111834
Fentanyl PCA,10019003473
Heparin Flush (10 units/ml),8290036005
Heparin Flush Hickman (100 units/ml),8290036005
Heparin Flush (10 Units/mL),8290036005
Influenza Virus Vaccine,33332001101
Influenza Virus Vaccine,33332001201
Influenza Virus Vaccine,49281038215
Influenza Virus Vaccine *Latex Free*,33332001001
Ketamine,60793058110
Ketamine,42023011510
Methadone PCA,54121842
Morphine Sulfate,338268975
Morphine PCA,338268975
Syringe (Neonatal),8290301025
Penicillin G Benzathine,60793070210
Penicillin G Benzathine,61570014610
PHENYLEPHrine,409180001
Phenylephrine,409180001
Phenylephrine HCl,409180001
Phenylephrine HCl,74180001
Phenylephrine HCl,641048225
Polymyxin B Sulfate,55390013910
Lorazepam 2mg syringe,409198530
Lorazepam 2 mg syringe,409198530
Clarithromycin,74318813
Heparin Flush,64253033335
Heparin Flush ,64253033335
Heparin Flush (10 units/ml),64253033335
Heparin Flush (100 units/mL),64253033335
Heparin Flush (100 units/ml),64253033335
Heparin Flush CVL  (100 units/ml),64253033335
Heparin Flush PICC (100 units/ml),64253033335
Heparin Flush Hickman (100 units/ml),64253033335
Heparin Flush Midline (100 units/ml),64253033335
Heparin Sodium (Preservative Free),8290036005
HYDROmorphone,74233411
Hydromorphone,74233411
Hydromorphone PCA,74130401
Hydromorphone PCA,74233411
HYDROmorphone (Dilaudid),74233411
Insulin,8881200441
Meperidine,338269175
Norepinephrine,247120004
Norepinephrine,74704101
Bacitracin,39822027702
Norepinephrine Bitartrate,703115303
Cortef,9001201
Levoxyl,74929613
Salagen,58063070510
Levoxyl,74707013
levothyroxine,74518211
Levothyroxine Sodium,74455211
Acetaminophen w/Codeine,51079016120
Acetaminophen w/Codeine,406048462
Acetaminophen w/Codeine,45051372
Tylenol-Codeine #3,51079016120
Hydrocortisone,9001201
Multivitamins,904053061
multivitamin,904053061
Butalbital-Acet-Caffeine,78008406
Acetaminophen-Caff-Butalbital,51674000901
Acetaminophen-Caff-Butalbital,143178701
Butalbital-Acetaminophen-Caff,143178701
Butalbital-Aspirin-Caffeine,78010305
Cortef,143125401
Hydrocortisone,143125401
Hydrocortisone,536391301
Diphenoxylate-Atropine,51079006720
Diphenoxylate-Atropine,378041501
Diphenoxylate HCl/Atrop Sulf,51079006720
PHENObarbital,51660078401
Oxycodone-Acetaminophen,54465025
Oxycodone-Acetaminophen,54865024
Oxycodone-Acetaminophen,406051201
Oxycodone-Acetaminophen,406051262
Oxycodone-Acetaminophen,63481062375
Oxycodone-Acetaminophen (5mg-325mg),406051262
OxycoDONE-Acetaminophen Elixir,406051262
PrimiDONE,66490069010
viok,58914011110
Viokase,58914011110
Viokase 8,58914011110
Viokase-8,58914011110
Amylase-Lipase-Protease,58914011110
Amylase/Lipase/Protease,58914011110
Adderall,555076202
Adderall,54868397600
Amphetamine-Dextroamphetamine,555076202
Albuterol,51079065720
Alendronate Sodium,6092558
Alendronate Sodium,93514001
ALPRAZolam,51079079001
Alprazolam,781132813
Alprazolam,51079079001
Alprazolam,51079078920
Zolpidem Tartrate,25540134
Zolpidem Tartrate,54008620
Zolpidem Tartrate,60505260400
Zolpidem Tartrate,24540134
Zolpidem Tartrate,51079072420
Amiloride HCl,6009268
Amiloride HCl,49884011701
Amlodipine,51079045120
Amlodipine,69153041
Amlodipine,59762153005
Amlodipine Besylate,69153041
Arimidex,310020130
Arimidex,310020137
anastrozole,310020137
Anastrozole,310020130
Anastrozole,310020137
Aripiprazole,59148000613
Aripiprazole,59148000735
Aspir,904404073
Aspiri,904404073
Aspirin ,904404073
asp,904404073
ASPIR,904404073
aspirin,904404073
Aspi,904404073
Aspirin EC,904404073
Aspirin Desensitization (AERD),904404073
Benztropine Mesylate,51079022120
Benztropine Mesylate,904105661
Benztropine Mesylate,68084038801
Benztropine Mesylate,51079022020
Benztropine Mesylate,904105561
Bethanechol,65473069701
Bethanechol,51285069702
Bisacodyl,52959067430
Bisacodyl,51079000620
Bisacodyl,182853489
Bisacodyl,536338101
bisacody,182853489
Zebeta,5381638
Zebeta,185077130
bisoprolol,185077130
Bisoprolol Fumarate,185077130
Bisoprolol Fumarate,5381638
bisoprolol fumarate,185077130
Bumetanide,4012149
Bumetanide,4016201
Bumetanide,51079089320
Buprenorphine,54017613
BusPIRone,172566310
BusPIRone,51079098501
Buspirone,87081843
BusPIRone,51079096020
Atacand,186000431
Candesartan,186000431
candesartan,186000431
Sucralfate,63739026110
Sucralfate,88171249
Sucralfate,51079087101
CloniDINE,904565661
CloniDINE,51079029920
Catapres,51079029920
Clonidine HCl,51079029920
CloniDINE,51079030020
Clonidine HCl,51079030020
Chlorpheniramine Maleate,51079016320
Clonazepam,57664027408
Clonazepam,4005850
Clonazepam,51079088220
Clonazepam,4006850
Clonazepam,51079088120
Colchicine,143120101
Colchicine,143120125
Colestid,9045003
Colestipol HCl,9045003
Cyproheptadine,54868133201
Cyproheptadine HCl,54868133201
Didanosine Chewable Tab,87665001
Dexam,54817625
Dexameth,54817625
Dex,54817625
Dexa,54817625
Dexamet,54817625
Dexamethason,54817625
Dexamethaso,54817625
Dexamethasone,54817625
Dexametha,54817525
Dexamethasone,54817525
Dexamethasone,54418425
Dexame,54817925
Dexameth,54817925
Dexamethasone,54817925
Dextroamphetamine,7351920
Diazepam,51079028420
Diazepam,51079028520
Donepezil,62856024541
Aricept,62856024541
Doxazosin,904552261
Doxazosin,51079095701
Doxazosin,49275041
Doxazosin,51079095720
Doxazosin,49276041
Doxazosin,904552461
Doxazosin,49277041
Doxazosin,51079095901
Enalapril Maleate,51079095120
Entecavir,3161212
Estradiol,430002324
Estradiol,87075501
Estradiol,591048701
Estrogens Conjugated,46110081
Estrogens Conjugated,46086881
Ferrous Gluconate,245006101
Propecia,6007131
Finasteride,555077002
Finasteride,6007228
Finasteride,51079052020
finasteride,68084024711
Fluphenazine,781143613
Fluphenazine,781143813
FoLIC,182050789
FoLIC Acid,62584089701
FoLIC Acid,51079004120
FoLIC Acid,182050789
Folic Acid,51079004120
Reminyl,50458039060
Razadyne,50458039660
Galantamine,50458039660
galantamine,555013809
galantamine,10147088106
Razadyne ER,50458039660
Galantamine Hydrobromide,50458039060
Amaryl,39022110
Glimepiride,39022110
Amaryl,39022211
Glimepiride,39022211
glimepiride,39022211
Amaryl,39022311
Glimepiride,39022311
glimepiride,39022311
GlipiZIDE,51079081020
GlipiZIDE,172364910
Glipizide,51079081020
GlyBURIDE,55289061401
GlyBURIDE,182264789
GlyBURIDE,51079087320
Glyburide,9017103
Glycopyrrolate,64980013101
Glycopyrrolate,59630020010
Glycopyrrolate,31782463
GlyBURIDE,9035201
Glyburide,9035201
Glyburide Prestab,9035201
Haloperidol,62584072533
Haloperidol,51079073420
Haloperidol,781139313
Haloperidol,54834425
Haloperidol,378032701
Haloperidol,54834525
HYDROmorphone,74241612
Hydromorphone,74241612
Hydromorphone,54839424
Hydromorphone HCl,54839424
HYDROmorphone (Dilaudid),59011045401
HYDROmorphone (Dilaudid),74241612
Hydromorphone,54839224
Hydromorphone,74241512
HYDROmorphone,74241512
Hydromorphone HCl,54839224
HYDROmorphone (Dilaudid),54839224
HYDROmorphone (Dilaudid),74241512
Iloperidone,43068010202
Ivermectin,6003220
Isosorbide Dinitrate,51079008420
Leucovorin Calcium,54449625
Lisinopril,172375810
Lisinopril,51079098120
Lisinopril,310013039
Lisinopril,60505018500
Lorazepam,904150161
Lorazepam,51079038620
Lorazepam,68084008901
Lorazepam,904598061
Lorazepam,904150061
Lorazepam,51079041720
Pantoprazole,51079041720
Indapamide,59746011209
Methenamine Mandelate,430016724
Namenda,456320563
MEMAntine,456320563
Memantine,456320563
Memantine HCl,456320563
Methadone,54855324
Methadone HCl,54855324
Methimazole,52604109401
Methimazole,68084027501
Methimazole,60793010401
Methylprednisolone,66993084225
Metolazone,51079002420
Metolazone,53014085072
Midodrine,245021201
Midodrine,54092000401
Midodrine HCl,54092000401
Molindone HCl,63481007270
Montelukast Sodium,6027528
Methotrexate,62584078201
Methotrexate,51079067005
Methotrexate Sodium,62584078201
Multivitamins,245009101
Multivitamins W/minerals,904504260
Multivitamins W/minerals,245009101
Sodium Chloride,2202402
Sodium Chloride,223176001
Olanzapine,2411533
Olanzapine,2411560
OLANZapine,2411533
Ondansetron,51079052420
Oxybutynin,904282161
Oxybutynin,57480043401
OxycoDONE,406055262
Oxycodone,54865724
Oxycodone,406055262
Oxycodone,66591093142
OxycoDONE ,406055201
Oxycodone ,54865724
OxycoDONE Liquid,406055262
OxycoDONE (Immediate Release) ,406055201
OxycoDONE (Immediate Release) ,406055262
OxycodONE (Immediate Release) ,406055262
Paliperidone ER,50458055010
Perphenazine,781104701
Perphenazine,781104801
Phytonadione,6004368
Phytonadione,25010040515
PILOCARPINE,58063070510
Pindolol,378005201
Mirapex,9000602
pramipexole,597019061
Pramipexole Dihydrochloride,9000602
PredniSONE,54873925
Prednisone,54873925
PredniSONE,54872425
Prednisone,54872425
Prochlorperazine,51079054120
Prochlorperazine Maleate,51079054120
Quinapril,71052740
Quinapril,59762501901
Repaglinide,169008281
Repaglinide,169008481
Prandin,169008481
Risperidone,51079046220
Risperidone,60505258600
Risperidone,50458030001
Risperidone,50458032001
Risperidone,904597661
Risperidone,60505258700
Risperidone,50458033001
Methylphenidate,406112101
Methylphenidate HCl,406112101
Methylphenidate HCl,83000730
MethylPHENIDATE (Ritalin),406112101
Requip,7489220
Ropinirole,93528401
ropinirole,93528401
Ropinirole HCl,7489220
Ropinirole HCl,7489120
Rosiglitazone Maleate,29315818
Rosiglitazone Maleate,29315913
Rosiglitazone Maleate,29316020
Rosuvastatin Calcium,310075590
rosuvastatin,310075590
Selegiline HCl,39506002260
Sirolimus,8104110
Sirolimus,8103105
Sirolimus,8103110
VESIcare,51248015001
Stanozolol (Bulk),24225304
Zelnorm,78035580
Zelnorm,78035680
Tegaserod Hydrogen Maleate,78035680
Tiagabine HCl,63459040401
Tizanidine,49884078253
Tizanidine HCl,49884078253
Tizanidine HCl,59075059215
Tizanidine HCl,59075059415
tolt,9454101
Tolterodine,9454101
Tolterodine,9454102
Tolterodine,9454401
Tolterodine,9454402
Torsemide,53169010260
Torsemide,4026249
Trandolapril,74227811
Trandolapril,48580601
Trandolapril,74227913
Trandolapril,74228013
Trandolapril,48580701
Trifluoperazine HCl,51079057201
Trifluoperazine HCl,781103213
Trihexyphenidyl HCl,54868234003
Trihexyphenidyl HCl,51079011520
Trihexyphenidyl HCl,51079012420
Warfarin,56016975
Warf,56017075
Warfarin,56017075
Warfarin,56017275
Lansoprazole,56017275
Zofran,173044600
Zofran,173044602
ZOFRAN PO,173044602
Acarbose,26286148
AcetaZOLAMIDE,51672402301
AcetaZOLamide,51672402301
Acetazolamide,57706075560
Nifedipine,26884148
NIFEdipine,85170103
NIFEdipine CR,591319301
NIFEdipine CR,93527201
NIFEdipine CR,85170103
Nifedipine CR,26884148
Nifedipine CR,85170103
nifedipine,26884148
NIFEdipine CR,85171603
NIFEdipine CR,67767015101
Nifedipine CR,26885148
Nifedipine CR,85171603
NIFEdipine,85171603
Nifed,85172202
NIFEdipine,85172202
NIFEdipine CR,85172202
Nifedipine CR,26886148
Nifedipine CR,85172202
Hepsera,61958050101
Adefovir,61958050101
Albuterol Sulfate (Extended Release),65473075401
Alendronate Sodium,6003121
ALPRAZolam,51079078820
Alprazolam,51079078820
Amitriptyline,51079013120
Amitriptyline HCl,51079013120
Amitriptyline,51079010720
Amitriptyline HCl,51079010720
Amitriptyline,51079013320
Amitriptyline HCl,51079013320
Amlodipine,69152068
Amlodipine,51079045020
Amlodipine Besylate,69152068
Amoxapine,17236088901
Aripiprazole,59148000835
Aripiprazole,59148000813
Abilify,59148000913
Aripiprazole,59148000913
Aripiprazole,59148000935
ASA,51079000522
Aspirin,63739002401
Aspirin,51079000522
Aspirin ,63739002401
asa,51079000522
Aspiri,63739002401
Aspirin EC,63739002401
Aspirin EC,51079000522
Aspirin (Buffered),51079000522
Aspirin Desensitization (Angioedema),63739002401
Aspirin Desensitization (AERD),63739002401
Atenolol,51079075920
Atenolol,51079068420
Atenolol,591577710
Atorvastatin,71015523
Atorvastatin,71015540
Atorvastatin,71015623
Atorvastatin,71015640
Atorvastatin,71015723
Atorvastatin,71015740
Atorvastatin,71015823
Atorvastatin,71015892
Azathioprine,54808425
Azathioprine,65649023141
Baclofen,904336561
Baclofen,51079066820
baclofen,904336561
BACTR,904272561
bactrim,904272561
Sulfameth/Trimet,904272561
Sulfameth/Trimethoprim,904272561
Sulfameth/Trimethoprim DS,904272561
Sulfameth/Trimethoprim SS,53746027101
Sulfameth/Trimethoprim SS,93008801
Sulfameth/Trimethoprim Suspension,53746027101
Sulfameth/Trimethoprim Suspension,93008801
Sulfameth/Trimethoprim,93008801
Benazepril,78044805
Lotensin,78044805
benazepril,78044805
Benazepril HCl,83006332
Benazepril,78044905
Bethanechol,65473070401
Bethanechol,63304099501
Bethanechol,50111032501
Casodex,310070539
Bicalutamide,310070539
Bicalutamide,68084037421
bicalutamide,68084037421
*NF* Bicalutamide,68084037421
Bromocriptine Mesylate,378204201
Bromocriptine Mesylate,78001715
Bumetanide,51079089101
Bumetanide,51079089120
Bumetanide,4012549
BuPROPion,173017755
Bupropion,173017755
Bupropion HCl,173017755
BusPIRone,172566410
BusPIRone,51079098620
Buspirone,87081943
Candesartan,186001628
candesartan,186001628
Candesartan Cilexetil,186001628
Captopril,59772704602
Captopril,49884079474
Captopril,59772704701
ZYRtec,69073166
cet,51079059720
Zyrtec,69551066
Cetirizine,51079059720
Cetirizine,69551066
Chlorthalidone,51079005820
PleTAL,54002821
Pletal,59148000216
Cilostazol,66993000860
cilostazol,54002821
Sensipar,55513007330
Cinacalcet,55513007330
Cinacalcet HCl,55513007330
Citalopram,60505251903
Citalopram ,60505251903
Citalopram Hydrobromide,60505251903
Citalopram Hydrobromide,456402063
Citalopram Hydrobromide,172474110
Clopidogrel,63653117103
Clopidogrel Bisulfate,63653117103
Clopidogrel Desensitization,63653117103
Clozapine,78012606
Codeine,54815624
Codeine Sulfate,54815624
Losartan Potassium,6095128
Cyclobenzaprine,51079064420
Cyclobenzaprine HCl,51079064420
Cyclophosphamide,54412925
Cyclophosphamide,15050401
Liothyronine Sodium,60793011501
Dapsone,49938010201
Dapsone,49938010230
Pyrimethamine,173020155
pyrimethamine,52054033010
Pyrimethamine,52054033010
Dasatinib,3052411
Desipramine,781197101
Desipramine HCl,781197101
Desipramine,54569040401
Desipramine HCl,54569040401
Desipramine HCl,54569170102
Dexamethason,54818125
Dexamethasone,54818125
Diazepam,51079028620
Diazepam,51079028621
Diclofenac Sodium,781178501
Diclofenac Sodium DR,781178501
Dicyclomine,536337701
Digoxin,173024956
Diltiazem,63739007910
Diltiazem,51079074520
Diltiazem,51079074620
Diltiazem,51079074720
Dipyridamole,51079006820
Dipyridamole,51079006920
Dipyridamole,51079007020
Donepezil,62856024641
Donepezil,59762024603
Doxazosin,49278041
DimenhyDRINATE,904205159
Enalapril Maleate,51079095220
Eplerenone,25171001
Eplerenone,59762171002
Eplerenone,59762172001
*NF* Erlotinib,50242006201
Lexapro,456201001
Escitalopram Oxalate,456201001
Escitalopram Oxalate,456201063
Escitalopram Oxalate,51079054320
Ethacrynic Acid,6006568
Ethacrynic Acid,25010020515
Aromasin,9766304
Ezetimibe,66582041428
Febuxostat,64764091830
Felodipine,186045158
Felodipine,61113045158
Tricor,74612290
Fenofibrate,74612290
fenofibrate,74612290
Fenofibrate Nanocrystallized,74612290
fenofibrate nanocrystallized,74612290
Tricor,54868459500
Fexofenadine,66993010702
Fexofenadine,51079052920
Flecainide Acetate,29336030510
Flecainide Acetate,89030510
Fluconazole,59762501501
Fluphenazine,781143901
Fluphenazine,781143913
Fluphenazine,51079048620
Fluphenazine,781143713
Fluvoxamine Maleate,63672105002
Fluvoxamine Maleate,32420511
Alendronate Sodium,6093628
Fosinopril,87015846
Monopril,87060942
Furosemide,54829725
Furosemide,182117089
Furosemide,51079007220
Lasix,51079007320
Furosemide,51079007320
Furosemide,182116189
Furosemide,54829925
Furosemide,54830125
Furosemide,51079052720
GlipiZIDE,51079081120
Glipizide,51079081120
GlyBURIDE,51079087201
GlyBURIDE,51079087220
Glyburide,9014102
Haloperidol,51079073320
Haloperidol,54834225
Haloperidol,781139713
Haloperidol,54834625
Hydrochlorothiazide,603385621
Hydrochlorothiazide,74697805
Hydrochlorothiazide,68084008601
Hydrochlorothiazide,603385521
Hydrochlorothiazide,182055789
Hydrocortisone,9003101
HydrOXYzine,68115017430
HydrOXYzine HCl,68115017430
Hydroxyzine HCl,364049490
HydrOXYzine,50111030801
HydrOXYzine,51655007924
HydrOXYzine HCl,51655007924
Hydroxyzine HCl,364049590
HydrALAzine,49884002901
HydrALAzine,68084044701
